company,name,phone,alt-phone,email,address
Eielson,Amn/Faimly Readiness,2178,2161,,
18th Fighter Squadron,AGE,5022,5035,,
Eielson,AFLD Lighting (A/L),4236,,,
,AMD,(315) 448-8888,,,
Eielson,AMMO,1297,,,
Eielson,ATOC,3257,,,
Eielson,Baker Field House,1925,,,
Eielson,Barrier Maintenance,1038,,,
,Barrier Maintenance Standby,(907) 978-0689,,,
Eielson,Base Operator,1110,,,
Eielson,Billeting,1844,(907) 385-6515,,
,C12 Ops,(907) 551-1950,(907) 551-1951,,
Eielson,CATM,2168,3089,,
Eielson,CE Customer Service,2100,,,
Eielson,Clinic,6526,,,
Eielson,COMM CFC (Internet Issue),2666,,,
Eielson,Command Post,1500,,,
Eielson,Command Post STE,6026,,,
Eielson,Command Center (OIC),3755,,,
Eielson,Commissary,5134,,,
Eielson,Corrosion Control Hanger,2664,,,
Eielson,Crash Recovery,2124,,,
Eielson,CSC/SFS STE,9968,,,
Eielson,DFAC Kitchen,2563,,,
Eielson,Education Center,5106,,,
Eielson,Emergency Management,2149,,,
Eielson,EOD,4207,,,
Eielson,Finance,2787,,,
Eielson,Fire Department,4156,,,
Eielson,FOD Manager,3700,,,
Eielson,Fuels,4190,,,
Eielson,Front Gate,5263,,,
Eielson,Geo Base,2596,,,
Eielson,HARM,3961,,,
Fort Wainwright,Airfield Mangement (AMOPS),(907) 353-7212,,,
Fort Wainwright,Basset Hospital,(907) 361-5172,,,
Fort Wainwright,Command Post,(907) 353-3558,,,
Fort Wainwright,Range Control,(907) 353-1266,,,
Fort Wainwright,Tower,(907) 353-9208,,,
Fort Wainwright,Weather,(907) 353-7111,,,
Fairbanks,Customs,(907) 474-0307,,,
Fairbanks,FSS,(907) 474-0788,(907) 474-4952,,
Fairbanks,FSS FAX,(907) 474-0766,,,
Fairbanks,Operations,(907) 474-0137,,,
Fairbanks,Tower,(907) 474-0452,,,
Fairbanks,ARPT Manager,(907) 474-2552,,,
Eielson,JMC,3195,3199,,
Eielson,Legal Office,4114,4125,,
Eielson,LMR,3838,,,
Eielson,Military Personnel Section,2400,,,
Eielson,MEO,1080,1359,,
Eielson,Natural Resources,5182,,,
Eielson,Passenger (PAX) Terminal ,1250,1854,,
Eielson,Protocol,7686,3660,,
Eielson,Public Health,6678,,,
Eielson,Public Affairs,2116,,,
Eielson,Range Control,3125,,,
Eielson,RAWS,1225,,,
,RAWS Standby,(907) 388-3858,,,
,Red Cross,(907) 444-9529,,,
Eielson,Red Flag,2232,,,
,Rescue Coordination CNT,(907) 384-6726,,,
Eielson,(Flight) Safety,1125,4110,,
,SAR (CAP),(907) 551-7230,,,
Eielson,Security Forces (SFS),5130,1333,,
Eielson,Small Arms Range,3089,,,
Eielson,Snow Barn,1270,,,
,Sweeper/Snow 3,(907) 651-9623,,,
,Sweeper Standby,(907) 978-1850,,,
Eielson,SOF,2256,2251,,
Eielson,Spill Reporting (HAZMAT),7745,,,
,TACC,(907) 779-0323,,,
Eielson,Thunder Dome,4353,,,
Eielson,Tower,2220,4960,,
,Tower Standby,(907) 385-5575,,,
Eielson,Transient Alert (TA),1264,,,
Eielson,UDM Office,3532,3539,,
,USDA Standby,(907) 687-9301,,,
Eielson,Vehicle Dispatch (Transportation),1843,,,
Eielson,Vehicle Maitenance,4229,,,
Eielson,Vehicle OPS,4396,2197,,
Eielson,Visitor Center,3807,,,
Eielson,Weather,3140,1160,,
Eielson,Wing XP,1690,2615,,
Elmendorf,Airfield Mangement (AMOPS),(907) 552-2107,,,
